;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2;;;Quận Ba Đình;;Quận;;;
432;8;1;3;4;1;1;0;3;1;37;16,85;3,47;116;;1;thị trấn Đông Anh;;;;;
434;8;11;3;4;1;1;0;3;1;32;5;6;85;;2;xã Bắc Hồng;;;;;
439;9;6;3;1;2;1;0;2;2;33;15,99;2,55;74;;3;xã Dục Tú;;;;;
449;3;7;3;1;1;1;0;2;1;45;6,43;7;55;;4;xã Dđại Mạch;;;;;
450;4;1;3;1;5;2;0;4;5;46;18,21;3,77;75;;5;xã Đông Hội;;;;;
452;19;9;3;1;1;1;0;3;1;33;8,25;3,78;30;;6;xã Hải Bối;;;;;
454;10;2;3;1;3;1;0;3;2;33;21,5;2,33;31;;7;xã Kim Chung;;;;;
456;7;18;3;1;4;1;0;3;2;24;15,57;3,2;77;;8;xã Kim Nỗ;;;;;
4827;11;8;2;1;3;1;0;4;2;40;11,11;3,71;87;;9;xã Mai Lâm;;;;;
459;9;5;3;4;4;1;1;4;2;50;11;3,81;78;;10;xã Nam Hồng;;;;;
460;4;12;3;1;1;1;0;3;1;35;27,36;3,51;68;;11;xã Nguyên Khê;;;;;
462;10;10;3;1;4;1;0;3;2;32;29,91;3,7;53;;12;xã Uy Nỗ;;;;51;
463;10;14;3;1;4;1;0;4;2;33;13,98;2,77;81;;13;xã Vân Nội;;;;;
4917;7;20;2;4;4;1;1;4;2;33;7;3,87;74;;14;xã Vĩnh Ngọc;;;;;
470;8;2;3;1;6;1;0;4;6;35;19,24;3,97;72;;15;xã Võng La;;;;;
471;6;10;3;1;5;1;0;3;4;35;16,91;3,96;94;;16;xã Xuân Nộn;;;;;
4944;10;14;2;1;5;1;1;4;3;60;22,48;2,75;63;;;;;;;;
477;9;3;3;1;5;2;0;3;5;35;9;3,43;95;;;;;;;;
478;10;16;3;1;4;1;0;4;3;35;19,15;2,76;41;;;;;;;;
480;6;2;3;1;2;1;0;1;2;20;11,47;3,59;70;;;huyện Gia Lâm;18;;;;
483;10;14;3;1;5;1;0;4;5;31;21,5;3,89;72;;1;thị trấn Trâu Quỳ;;;;;
490;6;10;3;1;5;1;0;3;3;34;9;3,75;97;;2;thị trấn Yên Viên;;;;;
491;6;14;3;1;5;1;0;5;3;42;36,03;3,58;102;;3;xã Cổ Bi;;;;;
502;10;16;3;1;4;1;0;4;4;36;21,11;2,86;40;;4;xã Dương Quang;;;;;
504;12;4;1;1;4;1;1;6;3;138;11,5;12;177;;5;xã Đa Tốn;;;;;
505;10;16;3;1;4;1;0;4;2;40;7,14;5,6;40;;6;xã Đặng Xá;;;;;
507;10;14;3;1;5;2;0;4;4;36;27,69;3,43;69;;7;xã Đông Dư;;;;;
509;1;13;3;1;4;1;0;4;2;80;18;3,57;175;;8;xã Kiêu Kỵ;;;;;
510;10;15;3;1;4;1;0;4;2;43;12;3,55;60;;9;xã Kim Sơn;;;;;
511;6;10;3;1;5;2;0;3;3;38;23,88;2,69;88;;10;xã Ninh Hiệp;;;;;
513;10;16;3;1;4;1;0;4;3;35;16,26;3,79;40;;11;xã Phù Đổng;;;;;
515;9;3;3;4;2;1;0;3;4;26;3,71;7;101;;12;xã Yên Thường;;;;;
516;11;2;3;1;4;1;1;4;2;47;11;2,29;63;;13;xã Yên Viên;;;;;
5018;9;5;2;1;8;1;0;10;7;100;22;3,68;215;;;;;;;;
5055;10;4;2;1;4;1;0;3;4;30;10;3,81;76;;;huyện Hoài Đức;19;;;;
523;4;8;3;1;5;2;0;3;5;36;9;2,37;88;;1;thị trấn Trạm Trôi;;;;;
525;8;2;4;1;4;1;0;4;4;76;16,55;3,81;117;;2;xã An Khánh;;;;;
529;12;4;3;1;1;1;1;2;1;65;13;5;102;;3;xã An Thượng;;;;;
530;10;6;3;1;4;1;0;3;2;33;8;3,62;65;;4;xã Di Trạch;;;;;
536;9;3;3;1;5;1;0;3;3;26;7;3,52;101;;5;xã Dương Liễu;;;;;
539;6;4;3;1;4;1;0;3;3;22;4,2;3,18;113;;6;xã Đông La;;;;;
541;4;14;3;1;6;1;0;4;5;65;14;5;115;;7;xã Đức Thượng;;;;;
544;7;3;3;1;4;1;0;4;2;45;15,56;3,51;64;;8;xã Kim Chung;;;;;
548;10;16;3;1;4;1;0;3;3;32;27,76;3,36;55;;9;xã La Phù;;;;;
549;10;6;3;1;5;1;0;3;3;34;14,13;3,47;67;;10;xã Song Phương;;;;;
551;10;6;3;1;4;1;0;4;4;31;7;3,78;66;;11;xã Sơn Đồng;;;;;
552;9;7;3;1;4;1;0;4;2;43;11;3,89;97;;12;xã Vân Canh ;;;;;
557;7;6;3;1;4;1;0;3;4;35;14,44;2,8;80;;13;xã Vân Côn;;;;;
558;10;4;3;4;1;1;1;2;1;58;9;6,5;43;;;;;;;;
