;Quận;Huyện;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Số  ngủ;Diện tích;Dài;Rộng;Giá/m2
347;Quận Hai Bà Trưng;Phường Đồng Tâm;3;1;5;4;56 m²;10 m;6 m;160,71
348;Quận Nam Từ Liêm;Phường Xuân Phương;3;1;4;3;31 m²;7.5 m;4 m;66,13
349;Quận Đống Đa;Phường Phương Mai;3;1;4;4;63 m²;10 m;6.3 m;87,3
352;Quận Đống Đa;Phường Quang Trung;3;4;NaN;3;76 m²;NaN;4 m;60,53
355;Quận Cầu Giấy;Phường Nghĩa Đô;2;4;NaN;1;80 m²;NaN;5 m;32,5
357;Quận Hai Bà Trưng;Phường Phạm Đình Hổ;3;4;5;4;36 m²;NaN;3.6 m;91,11
358;Quận Hoàng Mai;Phường Định Công;3;1;4;4;50 m²;NaN;3.5 m;73
360;Quận Hà Đông;Phường Vạn Phúc;3;4;NaN;3;30 m²;NaN;3.78 m;79,67
362;Quận Cầu Giấy;Phường Dịch Vọng Hậu;4;1;NaN;6;50 m²;15 m;4 m;210
363;Quận Hà Đông;Phường Phú La;3;1;5;4;38 m²;NaN;4 m;113,16
364;Huyện Hoài Đức;Xã La Phù;3;1;4;3;33 m²;10 m;33 m;47,88
365;Quận Long Biên;Phường Ngọc Lâm;3;1;6;4;40 m²;NaN;4 m;100
366;Quận Hà Đông;Phường Vạn Phúc;3;4;NaN;4;33 m²;NaN;3.65 m;72,73
369;Quận Ba Đình;Phường Liễu Giai;1;1;6;5;80 m²;16 m;5 m;161,13
371;Quận Hà Đông;Phường Kiến Hưng;3;1;5;4;38 m²;10 m;4 m;113,16
373;Quận Đống Đa;Phường Láng Thượng;2;1;5;5;62 m²;16 m;5 m;207,9
374;Quận Hà Đông;Phường Vạn Phúc;3;4;NaN;4;35 m²;NaN;3.5 m;77,14
375;Quận Hà Đông;Phường Vạn Phúc;3;4;NaN;4;30 m²;NaN;3.65 m;75
376;Quận Hà Đông;Phường Mộ Lao;2;1;NaN;4;62 m²;5 m;6 m;80,65
377;Quận Cầu Giấy;Phường Mai Dịch;3;1;5;3;40 m²;8 m;5 m;102,5
378;Quận Hoàng Mai;Phường Hoàng Văn Thụ;3;1;4;4;40 m²;NaN;4 m;50
379;Quận Long Biên;Phường Ngọc Thụy;3;1;NaN;6;65 m²;NaN;6 m;91,54
381;Quận Hoàng Mai;Phường Thịnh Liệt;2;1;3;4;57 m²;8.14 m;7 m;63,16
382;Quận Hà Đông;Phường Kiến Hưng;2;1;5;3;33 m²;NaN;5 m;65,15
383;Quận Ba Đình;Phường Vĩnh Phúc;3;4;NaN;3;35 m²;6 m;6 m;111,43
389;Quận Đống Đa;Phường Ô Chợ Dừa;3;4;NaN;3;25 m²;4 m;5 m;80
395;Quận Hai Bà Trưng;Phường Bạch Đằng;2;1;4;3;56 m²;14 m;4 m;58,93
396;Quận Bắc Từ Liêm;Phường Đông Ngạc;3;1;4;5;30 m²;5.6 m;5.5 m;77,33
397;Quận Đống Đa;Phường Kim Liên;3;1;5;3;39 m²;NaN;4.5 m;120,51
399;Quận Cầu Giấy;Phường Mai Dịch;3;1;5;3;44 m²;9.5 m;4.6 m;79,55
402;Quận Hai Bà Trưng;Phường Bạch Mai;3;1;4;3;35 m²;NaN;5 m;75,71
411;Quận Thanh Xuân;Phường Khương Đình;3;1;4;3;32 m²;8 m;4 m;79,69
415;Quận Đống Đa;Phường Trung Liệt;3;1;5;3;34 m²;8 m;4 m;111,76
416;Quận Thanh Xuân;Phường Khương Mai;3;1;5;4;49 m²;12.25 m;4 m;75,51
423;Quận Thanh Xuân;Phường Khương Mai;4;4;NaN;6;45 m²;10 m;4.5 m;103,33
425;Quận Đống Đa;Phường Thổ Quan;3;1;NaN;4;40 m²;10 m;4 m;70
426;Quận Hoàng Mai;Phường Giáp Bát;3;4;NaN;1;42 m²;NaN;4.3 m;71,43
428;Quận Hai Bà Trưng;Phường Bạch Đằng;2;1;NaN;6;63 m²;21 m;3 m;111,11
432;Quận Hoàng Mai;Phường Đại Kim;3;4;NaN;3;37 m²;NaN;5 m;116,22
434;Quận Hoàng Mai;Phường Thịnh Liệt;3;4;NaN;3;32 m²;5 m;6 m;85,94
439;Quận Thanh Xuân;Phường Nhân Chính;3;1;2;2;33 m²;NaN;4.2 m;74,24
449;Quận Tây Hồ;Phường Xuân La;3;1;1;2;45 m²;NaN;7 m;55,56
450;Quận Long Biên;Phường Bồ Đề;3;1;5;4;46 m²;NaN;4 m;75
