;Quận;Phường;Loại hình nhà ở;Giấy tờ pháp lý;Số tầng;Phòng Khách;Car room;Số phòng ngủ;WC;Diện tích; Dài ;    Rộng    ;Giá/m2
748;4;6;3;3;4;1;1;3;4;52;10,5;3,59;54,81
750;4;6;2;2;5;2;1;4;3;30;5;6;91,67
751;10;16;3;1;4;1;0;4;3;36;10;3,92;40,28
753;9;1;3;1;5;2;0;4;5;39;19,79;3,16;82,05
754;7;18;3;1;3;1;0;2;4;25;5;3,67;79,2
755;8;6;3;1;5;2;0;3;5;45;16,67;3,55;66,67
756;8;5;3;1;5;2;0;3;3;40;31,79;2,76;68,75
758;10;14;3;1;5;2;0;4;4;33;13,19;3,05;66,67
761;1;7;3;1;1;1;0;3;1;34;16,43;2,47;94,12
764;3;3;3;1;5;2;0;5;3;42;30,57;3,45;107,14
765;10;4;3;1;2;1;0;2;3;41;11;3,93;43,9
767;6;6;2;4;4;1;1;4;3;40;10;3,41;80
768;10;5;2;4;4;1;1;4;3;35;8,3;2,88;74,29
770;2;3;3;1;4;1;1;4;2;66;11;6;75,76
772;11;12;2;1;5;1;1;4;3;38;7,6;3,63;92,11
780;12;7;3;1;4;1;0;3;2;31;6,2;2,93;83,87
783;6;9;3;1;6;2;0;3;5;36;8;2,53;161,11
787;12;7;3;1;4;1;0;3;3;31;9;3,77;74,19
791;10;5;2;4;1;1;0;3;1;37;10;3,95;45,68
793;6;7;3;1;5;1;0;10;3;76;19;3,48;101,97
801;10;16;3;1;4;1;0;4;2;39;10;3,8;42,31
804;6;6;3;1;4;1;0;4;3;60;31,95;3,94;93,33
805;5;4;3;1;5;2;0;4;4;40;10;3,22;87,5
806;8;3;3;1;4;1;0;2;2;24;22,35;3,6;72,92
811;10;4;2;4;6;2;0;4;5;40;10;3,43;62,5
812;3;7;3;1;5;2;0;4;3;35;27,9;3,64;110
815;9;6;3;1;2;1;0;2;2;33,1;20,82;2,76;74,24
818;10;16;3;1;4;1;0;3;3;39,8;6,7;6;41,54
822;10;16;3;1;4;1;0;3;3;37;10,2;3,77;37,84
823;10;7;3;1;4;1;0;4;2;45;12;3,34;111,11
825;8;11;3;1;5;2;0;3;3;32;14,05;3,16;87,5
826;6;1;2;1;5;1;1;4;5;50;19,73;3,6;200
827;10;7;3;1;5;1;0;9;4;38;10;3,9;94,74
829;8;2;3;1;4;1;0;3;4;35;9;3,68;75,71
830;10;4;2;4;3;1;1;4;2;45;5,5;8;61,11
832;6;9;3;1;5;2;0;4;3;30;10;3,81;110
836;12;7;3;1;4;1;0;3;3;31;7,8;3,47;79,03
837;10;14;3;1;5;2;0;4;3;32;14,53;2,05;70,31
838;10;2;3;1;3;1;0;3;2;33;19,29;3,24;28,79
839;1;11;3;4;1;1;0;3;1;31;10;3,65;138,71
841;11;11;3;1;3;1;0;3;2;32;8;3,93;45,31
843;1;9;2;1;7;2;0;8;6;50;10,4;3,54;218
845;19;8;3;4;5;2;1;4;5;50;14;2,78;51
846;10;15;2;4;3;1;0;6;3;60;12;5;83,33
847;6;6;3;4;1;1;0;3;1;36,5;10;3,19;95,92
849;10;16;3;4;2;1;0;3;3;36;9;3,09;52,78
852;6;10;3;1;4;1;0;4;3;42;14;3,94;76,19
854;9;3;3;4;2;1;0;2;3;34;12,95;3,09;111,76
858;10;16;3;4;2;1;0;3;4;32;8;3,34;53,13
859;10;13;2;1;5;1;0;4;5;33;16,59;3,91;157,58
861;1;9;3;1;5;2;0;3;5;35;15,04;3,53;107,14
862;10;14;3;1;4;1;0;3;3;34;10;3,75;79,41
863;6;6;3;1;4;1;0;3;2;45;16,68;2,18;75,56
870;8;6;3;1;4;1;0;3;2;35;27,81;2,87;67,14
871;10;11;3;1;4;1;0;4;4;37;10;3,53;45,68
872;7;16;3;1;5;2;0;5;4;30;8;3,23;100
873;6;10;3;1;4;1;1;4;2;59;17;3,54;74,58
874;7;19;3;1;5;2;0;4;4;45;10;2,55;118,89
875;5;3;2;1;7;1;0;6;5;65;13;5;200
876;28;10;3;4;1;1;0;2;1;35;12;3,91;71,43
880;10;15;3;1;4;1;0;2;4;30;9;2,58;78,33
881;5;7;2;4;2;1;0;2;3;86;15;5,7;441,86
883;10;16;3;4;2;1;0;3;2;32;8;3,68;56,25
893;8;3;3;1;7;1;0;5;5;38;12;4;197,37
909;10;16;3;4;1;1;0;3;1;32;8;3,78;56,25
910;4;6;2;4;1;1;1;3;1;43;9;3,17;88,37
911;1;3;2;1;5;1;1;3;5;35;29,95;3,84;145,71
915;10;8;3;1;3;1;0;4;3;36;7;3,47;76,39
920;8;5;2;1;4;1;0;4;4;35;10;3,86;105,71
921;6;17;3;4;6;2;0;4;4;35,5;10;3,69;98,69
925;10;13;2;1;3;1;1;4;4;40;16,36;2,82;97,5
928;1;1;3;1;6;1;0;5;6;63;13;2,64;171,43
934;7;19;3;1;5;1;1;4;5;48;11;3,52;110,42
935;9;7;2;1;4;1;0;2;3;57;26,31;3,69;61,4
936;8;2;2;1;4;1;1;4;3;39;13,14;3,6;71,79
939;9;11;2;1;4;1;1;6;3;45;8;2,82;148,89
940;8;10;4;1;5;2;0;3;3;33;28,23;3,28;77,27
948;10;8;3;1;3;1;0;4;4;35;5,83;6;80
949;10;16;3;4;1;1;0;3;1;34;9,7;2,46;43,24
956;18;7;2;1;4;1;0;4;2;54;13,5;3,17;104,63
959;1;3;3;1;4;1;0;4;2;54;13;3,97;81,48
961;5;3;2;1;5;1;1;3;3;45;18,3;2,61;78,89
963;6;5;3;1;7;1;0;4;7;42;6,89;6,1;226,19
964;4;8;3;1;4;1;0;4;4;52;34,6;3,61;54,81
967;4;13;3;1;5;2;0;3;5;31;9;2,25;63,87
969;3;6;3;1;5;2;0;7;3;45;11,25;2,52;82,22
974;5;3;2;1;5;1;1;4;5;61;4,69;13;74,59
980;10;16;3;1;4;1;0;3;3;31;11,08;3,64;45,16
984;8;4;3;4;1;1;0;2;1;34;8;3,57;76,47
992;8;8;3;1;5;1;0;4;5;40;10;3,8;70
